Date,Open,High,Low,Close,Volume
09-Mar-16,204.52,209.37,202.79,208.72,3160081
08-Mar-16,203.5,207.5,202.2,202.6,4130816
07-Mar-16,197.68,209.7,197.4,205.29,5329369
04-Mar-16,198,204.03,197.5,201.04,6469772
03-Mar-16,188.28,197.42,184.22,195.74,4820497
02-Mar-16,183.73,188.52,181.5,188.34,4832986
01-Mar-16,194.25,195.95,182.7,186.35,6701674
29-Feb-16,192.4,196.35,189.22,191.93,4479719
26-Feb-16,188.7,192,185,190.34,6052910
25-Feb-16,178.65,188.52,175.2,187.43,5720514
24-Feb-16,172.75,179.5,167.84,179,5380712
23-Feb-16,176.16,181.73,173.68,177.21,5968028
22-Feb-16,170.12,178.91,169.85,177.74,5051180
19-Feb-16,163.66,167.49,162.5,166.58,2952880
18-Feb-16,172.42,172.95,164.77,166.77,3785336
17-Feb-16,159,169.34,156.68,168.68,5807071
16-Feb-16,158.7,162.95,154.11,155.17,5556314
12-Feb-16,155,157.01,143.7,151.04,7202970
11-Feb-16,152,163.26,147,150.47,14231392
10-Feb-16,150.5,154.97,141.74,143.67,9067292
09-Feb-16,142.32,159.79,141.05,148.25,8575099
08-Feb-16,157.1,157.15,146,147.99,9297941
05-Feb-16,171.3,173,157.74,162.6,9426933
04-Feb-16,170.7,175.98,166.99,175.33,4363924
03-Feb-16,183.59,183.94,170.18,173.48,7879454
02-Feb-16,192.42,193.12,180.23,182.78,5762855
01-Feb-16,188.76,199.52,182.75,196.94,5293766
29-Jan-16,189.95,193.74,188.08,191.2,2841003
28-Jan-16,190.79,191.28,182.41,189.7,4581652
27-Jan-16,192.38,193.26,185.77,188.07,3565378
26-Jan-16,196.7,197.82,188.88,193.56,4946841
25-Jan-16,200.06,203.57,195.88,196.38,2694564
22-Jan-16,204.8,205.5,199.03,202.55,3120106
21-Jan-16,201.55,203.23,195.02,199.97,3163432
20-Jan-16,199.4,201.28,191.25,198.7,5825431
19-Jan-16,208.71,210.47,200.78,204.72,3997509
15-Jan-16,198.97,205.07,197.25,204.99,5322235
14-Jan-16,202.21,210,193.38,206.18,6452623
13-Jan-16,212.01,212.65,200,200.31,4039093
12-Jan-16,211.6,213.74,205.31,209.97,3091917
11-Jan-16,214.01,214.45,203,207.85,4091422
08-Jan-16,217.86,220.44,210.77,211,3628058
07-Jan-16,214.19,218.44,213.67,215.65,3554251
06-Jan-16,220,220.05,215.98,219.04,3779128
05-Jan-16,226.36,226.89,220,223.43,3186752
04-Jan-16,230.72,231.38,219,223.41,6819737
31-Dec-15,238.51,243.45,238.37,240.01,2715038
30-Dec-15,236.6,243.63,235.67,238.09,3697921
29-Dec-15,230.06,237.72,229.55,237.19,2406290
28-Dec-15,231.49,231.98,225.54,228.95,1901304
24-Dec-15,230.56,231.88,228.28,230.57,710277
23-Dec-15,232.18,233.45,228.13,229.7,1554979
22-Dec-15,234.99,236.55,229.63,229.95,1961495
21-Dec-15,231.69,235.83,231.08,232.56,1953174
18-Dec-15,232.89,235.9,229.29,230.46,3014170
17-Dec-15,233.94,237.76,229.81,233.39,3298638
16-Dec-15,222.1,234.88,220.73,234.51,5104341
15-Dec-15,221.82,222.22,218,221.09,2244424
